question_id,standard_stars,standard_level,standard_level_name,calibrated_stars,calibrated_level,calibrated_level_name,original_teacher_level,label_changed,review_status,review_confidence,acceptable_levels,review_reason,teacher_reason,stem_summary,stem_pic_url,analysis_pic_url
3660414888162418688,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：知识点纯识记，地壳中元素含量前五位,知识点纯识记，地壳中元素含量前五位,地壳中含量最多的金属元素是（ ）,https://k12static.xdf.cn/k12/image/externalized/eb35b784-13ba-4d85-8fdd-e18b0825f9a5.png,https://k12static.xdf.cn/k12/image/externalized/c78dcc92-2532-43c6-80c4-e73000519d4c.png
3409521577253249024,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：知识点纯识记，描述化学性质的词直接判断,知识点纯识记，描述化学性质的词直接判断,下列物质的性质中属于化学性质的是$(\quad\;\;\;\;)$。,https://k12static.xdf.cn/k12/image/externalized/92ab5582-962c-4ca7-aa26-4032ed2c74a2.png,https://k12static.xdf.cn/k12/image/externalized/6c972700-626d-4c99-9279-759bb5fb9e22.png
3655002365996331008,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，化学式的简单识别,识记内容，化学式的简单识别,一氧化碳具有还原性，常用于冶金工业。一氧化碳的化学式是,https://k12static.xdf.cn/k12/image/externalized/5193a6ae-ad6f-498d-ae65-b5b50267f890.png,https://k12static.xdf.cn/k12/image/externalized/a5086d2b-58ff-4723-a2d6-a11d6d4b29c6.png
3671904479224631296,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，仪器的简单辨别 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,识记内容，仪器的简单辨别,正确认识和使用化学仪器是进行化学实验操作的重要前提。下列仪器与名称对应错误的是,https://k12static.xdf.cn/k12/image/externalized/9e5e1b4f-738f-48a9-8f18-1d77ba782935.png,https://k12static.xdf.cn/k12/image/externalized/0e339c9f-7a15-48ad-892f-6d7a9cd1a787.png
2764781751692218369,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，课本原文内容的直接考查,识记内容，课本原文内容的直接考查,化学就在我们身边，人类的衣食住行都离不开化学，下列关于化学的作用不正确的是,https://k12static.xdf.cn/k12/image/externalized/15907c65-7519-427e-a201-b76faa8b7d3e.png,https://k12static.xdf.cn/k12/image/externalized/028f89b5-a433-4fc7-93d2-babb99771452.png
2752929474936156160,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，化学实验现象判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,识记内容，化学实验现象判断,下列有关化学实验现象叙述正确的是,https://k12static.xdf.cn/k12/image/externalized/60490542-88a8-45cb-bed6-87faa35b9e88.png,https://k12static.xdf.cn/k12/image/externalized/9b3f66c2-9299-4779-9648-cbd84c559e69.png
3176345477817044992,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，图标的直接识别,识记内容，图标的直接识别,化学是一门以实验为基础的学科，在“做实验”中“学化学”是化学学习的主要方法，下列实验室安全标志表示“戴好防护手套”的是,https://k12static.xdf.cn/k12/image/externalized/d740878e-4df1-4649-9ad7-2b954512663b.png,https://k12static.xdf.cn/k12/image/externalized/97320344-3eff-4f54-9d75-ffbc17122e04.png
3643272458319765504,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，空气成分的体积分数直接判断,识记内容，空气成分的体积分数直接判断,空气是一种宝贵的资源，空气中体积分数约占21%的是,https://k12static.xdf.cn/k12/image/externalized/329b3102-d360-4498-b143-64fd4b48a73d.png,https://k12static.xdf.cn/k12/image/externalized/276f2de1-1ad0-4eef-b3b4-90ca9bd9d545.png
3663189178208792576,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，空气中各成分用途识别,识记内容，空气中各成分用途识别,夏日傍晚，公园里闪烁着美丽的霓虹灯，霓虹灯内填充的气体是空气中的,https://k12static.xdf.cn/k12/image/externalized/8de58b82-d856-4fb7-8c23-58b49daa77a0.png,https://k12static.xdf.cn/k12/image/externalized/076363ec-3519-46a0-a89e-5ec9e71b3aec.png
3590830079028281344,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：识记内容，金属之最,识记内容，金属之最,下列金属中，熔点最高的是（ ）,https://k12static.xdf.cn/k12/image/externalized/959d6cd1-b272-4958-a244-812f4a6d92e5.png,https://k12static.xdf.cn/k12/image/externalized/b012bdc0-5dad-4b9d-92ef-bcd4e8a22d77.png
3545970445305868288,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化学变化直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,化学变化直接判断,下列生产过程中蕴藏化学变化的是,https://k12static.xdf.cn/k12/image/externalized/4585560b-b772-4153-abcb-7cf1ea82f2ec.png,https://k12static.xdf.cn/k12/image/externalized/4d8bbfe9-7656-48b4-899c-0f38ffe4bfcd.png
3444660908863332352,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：单一反应类型的直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,单一反应类型的直接判断,下列化学反应属于化合反应的是,https://k12static.xdf.cn/k12/image/externalized/8e04bd97-c512-47b2-8f0d-e44bfc077bab.png,https://k12static.xdf.cn/k12/image/externalized/1d2bd2b0-ea67-43a0-8927-4c621cfe5635.png
3428530846454001664,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：缓慢氧化的判断，单一概念,缓慢氧化的判断，单一概念,下列过程不属于缓慢氧化的是（ ）,https://k12static.xdf.cn/k12/image/externalized/6033c2fb-0744-4501-94ca-a00163098887.png,https://k12static.xdf.cn/k12/image/externalized/b148f2eb-2b8b-4439-be8f-db023486ef17.png
3444534131291172864,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：根据化学式判断元素种类，单一元素辨别 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,根据化学式判断元素种类，单一元素辨别,含有三种元素的物质是,https://k12static.xdf.cn/k12/image/externalized/099bfa5b-b8d1-437b-8fb1-623bcd9ca4d0.png,https://k12static.xdf.cn/k12/image/externalized/c9ee22fc-900a-4393-a5bd-42d6589f44bc.png
2474759447092416512,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：离子符号书写判断，根据书写的知识点即可判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,离子符号书写判断，根据书写的知识点即可判断,下列离子符号的书写正确的是（ ）,https://k12static.xdf.cn/k12/image/externalized/f5eb0510-adb2-40cb-9121-24a51c14c85b.png,https://k12static.xdf.cn/k12/image/externalized/e83fd68d-75dd-4f54-b0c1-b7f71d9a6610.png
3658616733984890880,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：单一微粒符号判断，氮气化学式,单一微粒符号判断，氮气化学式,下列化学用语表示氮气的是,https://k12static.xdf.cn/k12/image/externalized/70d0a7fd-39d0-48a8-85aa-4f458ab47b5b.png,https://k12static.xdf.cn/k12/image/externalized/70bf0ea1-8ae1-42a1-9d14-aea2df983284.png
3637272561530511360,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化学家的成就单一判断,化学家的成就单一判断,下列科学家在化学的发展史上都作出了巨大贡献，18世纪通过实验得出质量守恒定律的科学家是,https://k12static.xdf.cn/k12/image/externalized/1af12fa4-a818-490d-a6bd-01b91b794925.png,https://k12static.xdf.cn/k12/image/externalized/844ad303-6d21-4fae-a0f7-50e9fcfdc314.png
3607181564695609344,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化学方程式的意义判断，书本上内容考查 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,化学方程式的意义判断，书本上内容考查,关于化学方程式的意义，下列说法错误的是,https://k12static.xdf.cn/k12/image/externalized/334e58d7-be46-47d2-891a-750dca27b174.png,https://k12static.xdf.cn/k12/image/externalized/befb8479-0662-4d7c-8a9b-90e3d42c78ff.png
3161742685600026624,★★,2,基础题,★★,2,基础题,送分题,是,明确改标,高,基础题,题目不是单一教材结论的直接检索：需要完成实质表征转换、书写规则转换，或在不同化学/实验规则之间切换，因此校准为基础题。,文字表达式的直接书写,拉瓦锡为了研究空气的成分，曾把汞放在密闭容器中加热，得到了红色粉末氧化汞，他又把这种红色粉末加热，得到了汞和氧气。写出上述两个反应的文字表达式：&emsp;&emsp;&emsp; 、&emsp;&emsp;&emsp; 。,https://k12static.xdf.cn/k12/image/externalized/46b6e286-af5b-4eac-9b5d-e24114984cc8.png,https://k12static.xdf.cn/k12/image/externalized/577debab-862f-4035-b2fc-cc6df4d74c8b.png
3654291368419553280,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：原子的构成，书本上知识,原子的构成，书本上知识,原子由原子核与核外电子构成，原子绝大部分质量集中在,https://k12static.xdf.cn/k12/image/externalized/b39ad6f3-5093-4761-8c58-4a19f312d1ab.png,https://k12static.xdf.cn/k12/image/externalized/1583756a-6ac4-4349-aff2-9d28d38a21c2.png
3654210123107467264,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：分子不断运动的直接现象考查 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,分子不断运动的直接现象考查,煮豆浆时能闻到浓浓的豆香，说明分子具有的性质是,https://k12static.xdf.cn/k12/image/externalized/9a8e5ed5-d253-44d5-9706-b7b0ebde3678.png,https://k12static.xdf.cn/k12/image/externalized/9ce9306f-55e7-48b5-9c77-c4f2c7087f88.png
3476099216835158016,★★,2,基础题,★★,2,基础题,送分题,是,明确改标,高,基础题,题目不是单一教材结论的直接检索：需要完成实质表征转换、书写规则转换，或在不同化学/实验规则之间切换，因此校准为基础题。,物质分类的微观解释-微观图直接判断纯净物、混合物,下列各图中的“●”和“○”分别表示不同元素的原子，其中表示混合物的是,https://k12static.xdf.cn/k12/image/externalized/a70fc064-26e5-4121-bbc3-e9bf365a077b.png,https://k12static.xdf.cn/k12/image/externalized/48dc6a0d-ed50-47d3-a28a-d8d972e7fe51.png
3658616781375627264,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：元素的本质区别-书本上定义,元素的本质区别-书本上定义,碳化硅（SiC）是人形机器人关节的重要材料。碳化硅中碳元素与硅元素的本质区别是,https://k12static.xdf.cn/k12/image/externalized/d1fdd0e1-8938-4dc9-853e-f2069942fa5d.png,https://k12static.xdf.cn/k12/image/externalized/1a4345c8-5eb4-4916-8fb4-ed2684919478.png
3660268590535122944,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：元素名称与符号的对应判断1-20号元素 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,元素名称与符号的对应判断1-20号元素,我国近代化学先驱徐寿创造了部分元素的汉语名称。下列元素名称与符号一致的是,https://k12static.xdf.cn/k12/image/externalized/015dd0a2-f1fd-430a-8775-bf862f747890.png,https://k12static.xdf.cn/k12/image/externalized/74eb4eba-9585-4ca7-87c4-10e80c77496d.png
3444279123728945152,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：元素分类判断，根据化学式直接判断金属元素或非金属元素,元素分类判断，根据化学式直接判断金属元素或非金属元素,下列物质含金属元素的是,https://k12static.xdf.cn/k12/image/externalized/f59e3fbf-b64d-4bf9-88a6-bdb28177652c.png,https://k12static.xdf.cn/k12/image/externalized/1a68a945-92e3-4ea3-ae0a-9b73a4060f51.png
3444588336026595328,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：根据化学式，氧化物的直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,根据化学式，氧化物的直接判断,下列物质属于氧化物的是,https://k12static.xdf.cn/k12/image/externalized/1b5c210e-6832-47be-baa7-5651bb521ec4.png,https://k12static.xdf.cn/k12/image/externalized/d91458c9-a599-4ee2-a65f-552a0db0eca0.png
3597941089643810816,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：混合物、纯净物判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,混合物、纯净物判断,生活中常见的下列物质属于纯净物的是（ ）,https://k12static.xdf.cn/k12/image/externalized/99ad845b-2c2e-4c36-a7f4-645e276ea258.png,https://k12static.xdf.cn/k12/image/externalized/93aacc1a-e18d-4e6e-8101-330d5168f8c6.png
3444558493167759360,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：空气污染物的直接判断,空气污染物的直接判断,下列物质属于空气污染物的是 ①$\text{SO}_2$ ②$\text{CO}_2$ ③$\text{NO}_2$ ④$\text{N}_2$,https://k12static.xdf.cn/k12/image/externalized/b10f7757-64d2-44eb-aeea-237c80e4202d.png,https://k12static.xdf.cn/k12/image/externalized/f8b36a4e-5e4e-4c3d-ae8e-034b9c95b2c5.png
3669585899308523520,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：保护环境的常见措施判断,保护环境的常见措施判断,保护环境是我们每个人的责任与使命，下列做法中不利于环保的是,https://k12static.xdf.cn/k12/image/externalized/2a6ad601-eb8e-4ddf-8f1d-ec67c3b650db.png,https://k12static.xdf.cn/k12/image/externalized/61896ded-ec75-4f3d-9776-810479851a0c.png
3659094374673825792,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：氧气用途判断,氧气用途判断,用空气泵向鱼池中鼓入空气，主要目的是补充能供给鱼呼吸的（ ）,https://k12static.xdf.cn/k12/image/externalized/22e09660-1303-497e-b155-8c9abeaf7d02.png,https://k12static.xdf.cn/k12/image/externalized/a62af040-14a7-412d-98b3-a90eff67ec85.png
3672524139133419520,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：简单图标的判断-节水标志,简单图标的判断-节水标志,公共标志具有警示、引导、规范等作用。以下为“国家节水标志”的是,https://k12static.xdf.cn/k12/image/externalized/5791b309-a28c-4692-a3d6-0fe952f5d115.png,https://k12static.xdf.cn/k12/image/externalized/36260ddb-81be-4b44-aab6-4e6070fb4a55.png
3663163520844902400,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：单一碳单质的用途直接考查-切割玻璃,单一碳单质的用途直接考查-切割玻璃,天然存在的最硬的物质，且可用来切割玻璃的是,https://k12static.xdf.cn/k12/image/externalized/97913ab2-3196-46aa-893d-0f623171646e.png,https://k12static.xdf.cn/k12/image/externalized/2c1ccc28-da82-4000-b686-dfd9aa4202d8.png
3591982340942876672,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：一氧化碳的毒性单一判断,一氧化碳的毒性单一判断,香烟产生的烟气中含有一种能与血液中血红蛋白结合的有毒气体，该气体是（ ）,https://k12static.xdf.cn/k12/image/externalized/a94389e9-0a7f-4e89-820a-be82e0515485.png,https://k12static.xdf.cn/k12/image/externalized/4bed77a4-f6ac-4641-8d4e-29634a82bd79.png
3664869257830817792,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：二氧化碳单一用途判断,二氧化碳单一用途判断,温室大棚中，常补充一种气体作为植物生长的肥料，这种气体是,https://k12static.xdf.cn/k12/image/externalized/d36b0750-1a5c-48f2-a973-324ecec867dc.png,https://k12static.xdf.cn/k12/image/externalized/ac0e5231-4851-46cf-ac18-3397461e1e0d.png
3675448775241441280,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：低碳生活相关考查,低碳生活相关考查,“低碳生活，节能减排”理念已深入人心。“低碳生活”中的“碳”是指,https://k12static.xdf.cn/k12/image/externalized/b246db33-d9ef-42b7-8e5f-f1fa48fe4b15.png,https://k12static.xdf.cn/k12/image/externalized/98626038-e14f-45ef-bbf1-bb2a0b0bb0fc.png
3647026128320536576,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化石能源的直接判断,化石能源的直接判断,人类在很长一段时间内依赖的是化石能源，现在人们将眼光投向清洁可再生能源。下列不属于化石能源的是,https://k12static.xdf.cn/k12/image/externalized/1065a8bb-2390-4644-b3e6-f453fd67d207.png,https://k12static.xdf.cn/k12/image/externalized/520434ff-ca24-4d5a-a9d8-5972c1e184ad.png
3522345421794967552,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：基本营养物质的判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,基本营养物质的判断,下列几种物质中，其主要成分不属于人体所需基本营养物质的是（ ）,https://k12static.xdf.cn/k12/image/externalized/77f23035-3cf7-4c68-bdb7-08c1ccfde487.png,https://k12static.xdf.cn/k12/image/externalized/8fab1c5c-3c96-4759-8b58-9f1558fb5269.png
3653405402042310656,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：金属材料的直接判断,金属材料的直接判断,下列材料中，属于金属材料的是,https://k12static.xdf.cn/k12/image/externalized/598eeb33-2a92-4c93-8800-404f73370af3.png,https://k12static.xdf.cn/k12/image/externalized/25206bc5-b8ce-4c6b-b11b-e9ebc7a028e8.png
3590396736184573952,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：合金的直接判断,合金的直接判断,下列物质不属于合金的是（ ）,https://k12static.xdf.cn/k12/image/externalized/5c92b516-0a22-42e7-b6c3-b431e2ed1a27.png,https://k12static.xdf.cn/k12/image/externalized/fd2e8b90-4b90-4eba-8c05-a0a72ecbd0d6.png
3610818464538206208,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：常见矿石的主要成分判断-赤铁矿,常见矿石的主要成分判断-赤铁矿,赤铁矿的主要成分是,https://k12static.xdf.cn/k12/image/externalized/98bfb39e-6e7d-4421-9f85-3246ee3ed550.png,https://k12static.xdf.cn/k12/image/externalized/1a6bc997-8b07-4258-b2ba-32821f81cf3a.png
3553259477000019968,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：溶液的直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,溶液的直接判断,下列生活中常见的物质中，不属于溶液的是,https://k12static.xdf.cn/k12/image/externalized/feaad2ff-7217-4526-9f1b-9c10c785d7f2.png,https://k12static.xdf.cn/k12/image/externalized/f42c159b-cd2f-4c64-8b56-a795e0b07581.png
3633349743636987904,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：溶剂的直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,溶剂的直接判断,下列日常生活常见溶液中，溶剂不是水的是,https://k12static.xdf.cn/k12/image/externalized/0036694f-bcae-4241-a960-3e3bed566209.png,https://k12static.xdf.cn/k12/image/externalized/60ee8129-4645-4ba5-8b5f-6e4d6881ddee.png
3557435507641208832,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：溶于水吸热、放热的物质直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,溶于水吸热、放热的物质直接判断,下列物质与水混合过程中，使溶液温度显著降低的是,https://k12static.xdf.cn/k12/image/externalized/cf1b50ef-a636-4db9-b92a-5c91b08cae56.png,https://k12static.xdf.cn/k12/image/externalized/35870793-e163-4636-8e7c-39973cf3d68f.png
3615560263417528320,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：单一考查活性炭的作用,单一考查活性炭的作用,谷雨时节，雷雨骤降，祝诗妍同学发现清澈抚河水变成浑浊发黄，她利用化学所学水的净化知识将它净化成生活饮用水，其中用到活性炭，活性炭的主要作用是,https://k12static.xdf.cn/k12/image/externalized/4af179c6-3c53-4fe9-b1e4-25601ab0d29d.png,https://k12static.xdf.cn/k12/image/externalized/35bf9b7f-96b7-4ad8-9e9a-9f0b625712c4.png
2288076244160638976,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：根据化学式判断酸 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,根据化学式判断酸,下列物质中属于酸的是（ ）,https://k12static.xdf.cn/k12/image/externalized/0d252703-86d7-44ee-b0e5-f3ce020cb66e.png,https://k12static.xdf.cn/k12/image/externalized/0a3f66ad-5b0e-49f6-a79c-313c3635465c.png
3676860504545972224,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：浓硫酸对应的图标,浓硫酸对应的图标,化学实验室里存放浓硫酸药品柜上应张贴的图标为,https://k12static.xdf.cn/k12/image/externalized/cf66dddc-8052-4a3d-a688-2f38fa7aebef.png,https://k12static.xdf.cn/k12/image/externalized/c9e65e8b-f76a-4ab9-a499-0304ff10fbb3.png
3676886726901248000,★,1,送分题,★,1,送分题,送分题,否,一致保留,高,送分题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：单一物质俗称判断,单一物质俗称判断,碳酸氢钠常用于治疗胃酸过多症，它的俗称是,https://k12static.xdf.cn/k12/image/externalized/6105e3b5-6319-4cf5-9fe8-b395e01fc14b.png,https://k12static.xdf.cn/k12/image/externalized/a7ff8b89-1e39-4842-b675-4ebb9f45f1e5.png
3555973551201468416,★★,2,基础题,★★,2,基础题,送分题,是,明确改标,高,基础题,题目不是单一教材结论的直接检索：需要完成实质表征转换、书写规则转换，或在不同化学/实验规则之间切换，因此校准为基础题。,酸碱指示剂变色判断,下表是生活中几种常见物质的pH，其中能使无色酚酞试液变红的是选项ABCD物质柠檬肥皂水西瓜酱油pH2.2~2.49.0~10.05.2~5.84.5~5.5,https://k12static.xdf.cn/k12/image/externalized/04493111-6e9e-4415-9c86-e777f9ab1715.png,https://k12static.xdf.cn/k12/image/externalized/9b99d76f-2f33-4393-ae05-ba34c313dccc.png
3583610252476862464,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：根据pH判断溶液酸碱性 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,根据pH判断溶液酸碱性,身边一些物质的pH如下图，其中显碱性的是（ ）,https://k12static.xdf.cn/k12/image/externalized/2cffdc97-209c-4253-b946-4bcd5125b8a9.png,https://k12static.xdf.cn/k12/image/externalized/d0ffc5e7-82d8-4b26-aafe-a6a17b84b1e1.png
3335781052741697536,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：根据化学方程式，直接判断中和反应 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,根据化学方程式，直接判断中和反应,下列反应属于中和反应的是,https://k12static.xdf.cn/k12/image/externalized/598110a0-f162-4557-9f34-c45b72522566.png,https://k12static.xdf.cn/k12/image/externalized/2cd696a4-aa5c-4b0d-bc8e-dcff658c7b14.png
3670897364673531904,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化学变化的直接判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,化学变化的直接判断,2024年龙年春节期间全国各地举行了丰富多彩的民俗活动，下列四个场景中涉及化学变化的是（ ）,https://k12static.xdf.cn/k12/image/externalized/23533b74-bb37-4b82-af95-d579c7ec0ffd.png,https://k12static.xdf.cn/k12/image/externalized/acd0b4cf-3ad9-4887-b7e8-4e5b66897bb5.png
3624484585825722368,★,1,送分题,★,1,送分题,送分题,否,边界保留,中,送分题 / 基础题,最高难任务属于单一熟悉模板的直接识别，没有第二次化学决策。 原标注依据：化学变化判断 现有模型存在相邻档分歧；复核后主标签保留原档，同时记录相邻档为可接受边界。,化学变化判断,海南椰壳活性炭广泛用于净水、除味、脱色。下列制作椰壳活性炭的过程中，属于化学变化的是,https://k12static.xdf.cn/k12/image/externalized/30ed4908-d699-4128-8e22-3da12e243cd9.png,https://k12static.xdf.cn/k12/image/externalized/f118a86b-6969-4244-82da-49c573472cd5.png
