题目ID,原GPT裁定档,修订后主标签,可接受等级,复核状态,修订后置信度,教师标准档,初次盲评档,复核依据,复核证据来源,题干,选项,官方解析,题目图片URL,解析图片URL,结构_步骤,结构_题型,结构_状态,结构_约束,结构_实验,结构_图表,结构_推理
2139835924700303365,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,以下现象与大气压有关的是$(\qquad)$,A. 用吸管喝饮料 B. 覆杯实验 C. 注射药液 D. 吸盘 E. 热气球升空 F. 用滴管吸取药液 G. 钢笔吸墨水 H. 堵住茶壶上的小孔，茶壶里的水就不容易被倒出来 I. 瓶吞鸡蛋 J. 利用离心泵抽水,建议课堂活动，让学生来讲解原理 ① 用注射器吸取药液与大气压有关，原理与用吸管喝饮料类似，但是用注射器注射药液与大气压无关； ② 若堵住茶壶上的小洞，随着茶壶里水的流出，茶壶里气体质量没变但是体积变大，所以压强变小，小于外界大气压，使大气压托住水，倒不出来．,https://k12static.xdf.cn/k12/image/externalized/be9a55f9-32b5-4c77-81ca-21ad0bf2b346.png,https://k12static.xdf.cn/k12/image/externalized/f7a66f12-a242-4270-b59d-65a97700f255.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2139855143991087106,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,在温度为 $ 0^\circ{\rm C} $ 时，静止在桌面上的铁块$(\qquad)$,A. 只具有内能 B. 只具有机械能 C. 既具有机械能，又具有内能 D. 既没有机械能，又没有内能,铁块在桌面上，所以具有重力势能，从而具有机械能，虽然温度低，但任何物体的分子都在不停地做无规则运动，所以铁块也具有内能．因此ABD错误，C正确． 故选C。,https://k12static.xdf.cn/k12/image/externalized/c2d25515-c212-4705-ae90-6bdbc909e39c.png,https://k12static.xdf.cn/k12/image/externalized/2db12f7c-c129-4971-a257-fd45d921866f.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2234554433063890944,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图电路中，电源电压保持不变，当开关S闭合，滑动变阻器的滑片P向右移动时，电流表和电压表的示数变化情况分别为（ ）,A. 电流表的示数变小，电压表的示数变大 B. 电流表的示数变大，电压表的示数变小 C. 电流表的示数变小，电压表的示数不变 D. 电流表的示数变小，电压表的示数变小,解：∵电压表测电源的电压且电源的电压不变， ∴电压表的示数不变； 当滑动变阻器的滑片P向右移动时，滑动变阻器接入电路的电阻变大， ∵I=$\frac{U}{R}$，R1两端的电压不变； ∴R2支路的电流变小，R1支路的电流不变， ∵并联电路中干路电流等于各支路电流之和可知， ∴干路电流变小，即电流表的示数变小。 故选：C。,https://k12static.xdf.cn/k12/image/externalized/18e5034f-d5ee-4179-809e-8d14b96c83ff.png,https://k12static.xdf.cn/k12/image/externalized/94e12f6e-c8fc-42aa-a25b-ecf98e15398a.png,3-5步,电路综合,单状态,单一约束,无,无,多层因果推理
2264327909711310848,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示的电路中，闭合开关S，已知电源电压为6V，L2两端的电压为2V，则下列说法正确的是（ ）,A. 电压表的示数为2V B. 电压表的示数为4V C. 灯泡L1的示数为2V D. 电压表的示数为6V,解：如图所示，闭合开关S，两灯串联，电压表V测L1两端电压，电源电压为6V，L2两端的电压为2V，根据串联电路电压的规律，L1两端电压为：U1=U-U2=6V-2V=4V，即电压表V的示数为4V，故B正确。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/9daaeb83-9630-4e82-8925-cab5febbe88d.png,https://k12static.xdf.cn/k12/image/externalized/ab1eaa23-a80b-4e9a-842c-f26811cb059b.png,1-2步,电路综合,单状态,无约束,无,无,简单因果推理
2264327991126155264,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示，电源电压为6V，闭合开关后，电压表的示数为4V，电流表示数为0.5A，下列描述不正确的是（ ）,A. 通过L1电流为0.5A B. L1两端电压为4V C. L2电阻值比L1大 D. L1和L2两端电压之和为6V,解：A、开关闭合后，该电路是串联电路，电流表示数为0.5A，因为串联电路中电流处处相等，所以通过L1电流为0.5A，故A正确； BD、因串联电路中总电压等于各个电压之和，电压表测L2两端的电压，则U2=4V，电源电压为6V，则L1两端电压为U1=U-U2=6V-4V=2V，故B错误、D正确； C、由$R=\frac{U}{I}$可知，L2电阻值比L1大，故C正确。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/0c8c7584-d0cc-4d03-a02f-3e1da8c012a6.png,https://k12static.xdf.cn/k12/image/externalized/d5fb6052-9936-45cb-87ad-359cc417ab0b.png,1-2步,电路综合,单状态,无约束,无,无,多层因果推理
2264328088771907584,基础题,基础题,基础题|中等题,保留原主标签；相邻档有争议,中,基础题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图所示，L1和L2两个小灯泡接入电源电压为6V的电路中，当开关S闭合时，电压表示数为4V，则下列判断正确的是（ ）,A. L1两端电压是4V B. L2两端电压是4V C. 当开关S断开时，电压表的示数为4V D. 当开关S断开时，电压表的示数为0,解：当开关闭合时，两灯串联，电压表测量L2两端的电压，此时电压表示数为4V，即L2两端的电压U2=4V， 由串联电路的电压特点可得，L1两端电压：U1=U-U2=6V-4V=2V； 当开关断开时，电压表通过灯接在电源上，此时电压表测电源电压，则电压表的示数为6V。故B正确，ACD错误。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/3e218e72-d746-4950-b0d0-d3d28139eb74.png,https://k12static.xdf.cn/k12/image/externalized/ea70974c-a308-4697-858d-6d49d2560d3b.png,3-5步,电路综合,双状态,单一约束,无,无,多层因果推理
2284416127491153920,中等题,中等题,基础题|中等题,保留原主标签；相邻档有争议,中,中等题,中等题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图是利用磁悬浮原理浮在空中的盆栽，盆栽底部有永磁体，底座内装有电磁铁。给盆栽慢慢浇水且水没有渗出，盆栽始终处于悬浮状态，下列说法正确的是（ ）,A. 盆栽受到的磁场力保持不变 B. 底座对水平桌面的压强逐渐增大 C. 若底座上端为N极，盆栽下端可能为S极 D. 只改变底座内电流方向，盆栽还会处于悬浮状态,解：A．该盆栽悬浮的原理利用了同名磁极相互排斥，当盆栽悬浮在空中静止不动时，受的力是平衡力，即盆栽的总重力和磁力大小相等，当浇水后重力变大，故磁力也变大，故A错误； B．影响压强的因素是压力和受力面积，当浇水后重力变大，磁力也变大，对桌面的压力也变大，根据p=$\frac{F}{S}$在压力变大，受力面积不变时，压强变大，故B正确； C．盆栽悬浮利用的同名磁极相互排斥，所以若底座上端为N极，盆栽下端应为N极，故C错误； D．改变底座内电流的方向，底座的磁极方向就会改变，底座与盆栽之间就会由同名磁极相互排斥改变为异名磁极相互吸引，盆栽不会处于悬浮状态，故D错误。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/60a40105-f2a1-45bc-86f9-e0f280a20b3b.png,https://k12static.xdf.cn/k12/image/externalized/0900b181-1130-4863-a329-05d497e9b21f.png,3-5步,概念判断,单状态,单一约束,无,无,多层因果推理
2289144114869739520,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图，灯泡处于静止状态。与灯泡所受的重力相互作用的另一个力是（ ）,A. 灯泡对地球的作用力 B. 天花板对电线的拉力 C. 灯泡对电线的拉力 D. 电线对灯泡的拉力,解：灯泡所受的重力与电线对灯泡的拉力，这两个力都作用在物体上，大小都等于其重力，方向相反，且在同一直线上。所以这两个力是一对平衡力。 天花板对电线的拉力和灯泡对电线的拉力都是电线受到的，且大小都相等，方向相反，且在同一直线上。所以这两个力是一对平衡力。 灯泡对地球的作用力和灯泡所受的重力，这两个力等大，反向，共线。是灯泡和地球这两个物体之间相互发生的。所以这两个力是一对作用力与反作用力。 故选：A。,https://k12static.xdf.cn/k12/image/externalized/54e83317-713e-425c-889c-f6be61f38a39.png,https://k12static.xdf.cn/k12/image/externalized/03ba5ae3-9311-48b9-b8cf-fd4301018f9c.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2289188810121846784,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,送分题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,用真空采血管抽血时，将采血针一端刺入人体静脉后，另一端插入真空采血管的胶塞，血液便会自动流入采血管。血液能够流进真空采血管的动力来自（ ）,A. 大气压 B. 人体内血压 C. 护士的拉力 D. 血液自身重力,解：真空采血管在组装后应保持一定的负压，即真空试管内气体的压强低于大气压，针头插入检查者的静脉时，在检查者体内血压的压力下，血液流入真空采血管。故B正确，ACD错误。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/8668eb07-e63f-4bea-a67c-cbb484189964.png,https://k12static.xdf.cn/k12/image/externalized/716c95bd-8aec-4fa2-a762-7a58f043af84.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2290577834254311424,送分题,送分题,送分题|基础题,保留原主标签；相邻档有争议,中,送分题,基础题,第二轮复核认为现有证据只能证明该题处于相邻档边界，不能排除原GPT主标签。为避免使用模型预测反向拟合真值，保留原主标签，并将另一档记录为可接受等级。,三次运行错题并集逐题复核,如图是筷子夹菜时的杠杆示意图，其中的一根筷子受阻力和动力方向都正确的是（ ）,,解：手对筷子的作用力为动力，其方向与筷子垂直向下；食物对筷子的阻碍力为阻力，其阻力的作用点为筷子与食物的接触点，并且方向垂直筷子向上。 故选：B。,https://k12static.xdf.cn/k12/image/externalized/9d890203-aa47-4c70-ab8d-44aa836bcf55.png,https://k12static.xdf.cn/k12/image/externalized/590d071f-3ffc-4347-ac01-a567f5551bd8.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
